path,domain,type,state,authority,published,destination,action
AGENTS.md,operations,operations,internal,authoritative,no,AGENTS.md,exclude
CHANGELOG.md,releases,landing,current,derived,yes,docs/releases/changelog.md,retain
CONTRIBUTING.md,developer,landing,current,derived,yes,docs/developer/contributing.md,retain
INSTALL.md,manual,landing,current,derived,yes,docs/manual/how-to/install.md,retain
README.md,manual,landing,current,authoritative,yes,README.md,retain
UPGRADING.md,releases,landing,current,derived,yes,docs/releases/upgrading.md,retain
docs/README.md,manual,landing,current,derived,yes,docs/README.md,retain
docs/_meta/constitution.md,meta,policy,current,authoritative,yes,docs/_meta/constitution.md,retain
docs/_meta/inventory.md,meta,inventory,current,derived,yes,docs/_meta/inventory.md,retain
docs/_meta/migration-plan.md,meta,plan,proposed,record,yes,docs/_meta/migration-plan.md,retain
docs/architecture.md,architecture,landing,current,derived,yes,docs/architecture/adr/0001-hybrid-runtime-boundaries.md,retain
docs/architecture/adr/0001-hybrid-runtime-boundaries.md,architecture,adr,current,authoritative,yes,docs/architecture/adr/0001-hybrid-runtime-boundaries.md,retain
docs/architecture/adr/index.md,architecture,landing,current,authoritative,yes,docs/architecture/adr/index.md,retain
docs/architecture/adr/template.md,architecture,adr,proposed,record,yes,docs/architecture/adr/template.md,retain
docs/architecture/class-ii-lifecycle.md,architecture,contract,current,authoritative,yes,docs/architecture/class-ii-lifecycle.md,retain
docs/architecture/class-ii-persistence.md,architecture,contract,current,authoritative,yes,docs/architecture/class-ii-persistence.md,retain
docs/architecture/cuda-packed-tm.md,architecture,contract,current,authoritative,yes,docs/architecture/cuda-packed-tm.md,retain
docs/architecture/index.md,architecture,landing,current,derived,yes,docs/architecture/index.md,retain
docs/architecture/logic-ast.md,architecture,contract,current,authoritative,yes,docs/architecture/logic-ast.md,retain
docs/architecture/logic-class-ii-consolidation.md,architecture,contract,current,authoritative,yes,docs/architecture/logic-class-ii-consolidation.md,retain
docs/architecture/logic-compiler.md,architecture,contract,current,authoritative,yes,docs/architecture/logic-compiler.md,retain
docs/architecture/logic-morphology.md,architecture,contract,current,authoritative,yes,docs/architecture/logic-morphology.md,retain
docs/architecture/packed-tm.md,architecture,contract,current,authoritative,yes,docs/architecture/packed-tm.md,retain
docs/architecture/semantic-contract.md,architecture,contract,current,authoritative,yes,docs/architecture/semantic-contract.md,retain
docs/archive/dashboard.md,archive,record,historical,record,yes,docs/archive/dashboard.md,retain
docs/archive/gpu-handoff.md,archive,record,historical,record,yes,docs/archive/gpu-handoff.md,retain
docs/archive/index.md,archive,landing,current,derived,yes,docs/archive/index.md,retain
docs/archive/roadmap-disposition.md,archive,record,historical,record,yes,docs/archive/roadmap-disposition.md,retain
docs/benchmarks/index.md,benchmarks,landing,current,authoritative,yes,docs/benchmarks/index.md,retain
docs/benchmarks/logic-dataset-baseline.md,benchmarks,benchmark-record,current,record,yes,docs/benchmarks/logic-dataset-baseline.md,retain
docs/benchmarks/packed-tm-cpu.md,benchmarks,benchmark-record,current,record,yes,docs/benchmarks/packed-tm-cpu.md,retain
docs/benchmarks/packed-tm-cuda.md,benchmarks,benchmark-record,current,record,yes,docs/benchmarks/packed-tm-cuda.md,retain
docs/benchmarks/protocol.md,benchmarks,contract,current,authoritative,yes,docs/benchmarks/protocol.md,retain
docs/benchmarks/references.md,benchmarks,bibliography,current,record,yes,docs/benchmarks/references.md,retain
docs/bounded-search.md,manual,landing,current,derived,yes,docs/manual/how-to/run-bounded-search.md,retain
docs/c-api.md,manual,landing,current,derived,yes,docs/manual/reference/c-api.md,retain
docs/class-ii-lifecycle.md,architecture,landing,current,derived,yes,docs/architecture/class-ii-lifecycle.md,retain
docs/class-ii-persistence.md,architecture,landing,current,derived,yes,docs/architecture/class-ii-persistence.md,retain
docs/compatibility.md,releases,landing,current,derived,yes,docs/releases/compatibility.md,retain
docs/consumer-tutorial.md,manual,landing,current,derived,yes,docs/manual/tutorials/first-python-model.md,retain
docs/cuda-packed-tm.md,architecture,landing,current,derived,yes,docs/architecture/cuda-packed-tm.md,retain
docs/dashboard.md,archive,landing,current,derived,yes,docs/archive/dashboard.md,retain
docs/data-connectors.md,manual,landing,current,derived,yes,docs/manual/reference/data-connectors.md,retain
docs/developer/contributing.md,developer,landing,current,authoritative,yes,docs/developer/contributing.md,retain
docs/developer/hostile-input-testing.md,developer,reference,current,authoritative,yes,docs/developer/hostile-input-testing.md,retain
docs/developer/index.md,developer,landing,current,derived,yes,docs/developer/index.md,retain
docs/developer/prolog-api.md,developer,reference,current,derived,yes,docs/developer/prolog-api.md,retain
docs/developer/prolog.md,developer,reference,current,authoritative,yes,docs/developer/prolog.md,retain
docs/feature-templates.md,manual,landing,current,derived,yes,docs/manual/reference/feature-templates.md,retain
docs/gpu-handoff.md,archive,landing,current,derived,yes,docs/archive/gpu-handoff.md,retain
docs/hostile-input-testing.md,developer,landing,current,derived,yes,docs/developer/hostile-input-testing.md,retain
docs/index.md,meta,landing,current,derived,yes,docs/index.md,retain
docs/logic-ast.md,architecture,landing,current,derived,yes,docs/architecture/logic-ast.md,retain
docs/logic-class-ii-consolidation.md,architecture,landing,current,derived,yes,docs/architecture/logic-class-ii-consolidation.md,retain
docs/logic-compiler.md,architecture,landing,current,derived,yes,docs/architecture/logic-compiler.md,retain
docs/logic-dataset-baseline.md,benchmarks,landing,current,derived,yes,docs/benchmarks/logic-dataset-baseline.md,retain
docs/logic-morphology.md,architecture,landing,current,derived,yes,docs/architecture/logic-morphology.md,retain
